housing_address,housing_room_count,housing_type,housing_price,housing_selling_method,housing_seller_agency,housing_date_sold,housing_cbd_distance,housing_bedroom_count,housing_bathroom_count,housing_garage_count,housing_land_size,housing_building_area,housing_year_built,housing_lattitude,housing_longitude,suburb_id
5/102 Oakleigh Rd,2,u,450000.0,S,Anderson,27/06/2016,11.4,2.0,1.0,1.0,0.0,72.0,1970.0,-37.8999,145.0575,27
2/94 Truganini Rd,2,u,737000.0,S,Woodards,27/06/2016,11.4,2.0,1.0,1.0,165.0,,1990.0,-37.8927,145.0539,27
3/64 Woornack Rd,3,t,860000.0,S,Buxton,27/06/2016,11.4,3.0,1.0,2.0,277.0,135.0,1978.0,-37.8978,145.0624,27
1/58 Coorigil Rd,2,u,605000.0,S,Woodards,27/11/2016,11.4,2.0,1.0,1.0,0.0,70.0,1973.0,-37.8956,145.0613,27
14 Margaret St,2,h,1300000.0,S,hockingstuart,27/11/2016,11.4,2.0,1.0,1.0,640.0,,1900.0,-37.891,145.0636,27
44 Blackwood St,4,h,1518000.0,S,hockingstuart,28/05/2016,11.4,3.0,3.0,2.0,454.0,275.0,2000.0,-37.8869,145.0628,27
5/33 Gnarwyn Rd,2,u,632500.0,S,Buxton,28/05/2016,11.4,2.0,1.0,1.0,99.0,98.0,1965.0,-37.8946,145.0588,27
6/7 Judd St,2,u,435000.0,S,Gary,28/05/2016,11.4,2.0,1.0,1.0,0.0,60.0,1980.0,-37.8986,145.0567,27
15/225 Koornang Rd,2,u,468250.0,S,Ray,28/08/2016,11.4,2.0,1.0,1.0,912.0,75.0,2008.0,-37.8936,145.056,27
26 Leila Rd,3,h,1716000.0,S,Woodards,28/08/2016,11.4,2.0,2.0,1.0,817.0,130.0,1925.0,-37.9007,145.047,27
10/8 Anzac St,1,u,270000.0,S,hockingstuart,30/07/2016,11.4,1.0,1.0,1.0,0.0,,1968.0,-37.886,145.0659,27
3/9 Maroona Rd,1,u,365000.0,S,hockingstuart,30/07/2016,11.4,1.0,1.0,1.0,0.0,48.0,1960.0,-37.8887,145.048,27
3/12 St Huberts Rd,1,u,340000.0,S,hockingstuart,30/07/2016,11.4,1.0,1.0,1.0,0.0,,,-37.8894,145.0508,27
6/5 Freeman St,2,u,722500.0,S,Gary,3/09/2016,8.9,2.0,1.0,1.0,0.0,100.0,1960.0,-37.8865,145.0302,28
18 Ash Gr,4,t,1600000.0,SP,Gary,3/12/2016,8.9,4.0,3.0,2.0,812.0,,,-37.8864,145.0326,28
190 Kambrook Rd,5,h,1665000.0,S,Gary,3/12/2016,8.9,5.0,2.0,2.0,593.0,,,-37.8849,145.0341,28
2/19 Ash Gr,1,u,323000.0,S,hockingstuart,4/03/2017,8.9,1.0,1.0,1.0,820.0,,,-37.8866,145.0322,28
4/14 Briggs St,2,u,550000.0,VB,Gary,4/03/2017,8.9,2.0,1.0,1.0,806.0,78.0,1960.0,-37.8852,145.024,28
103/677 Glen Huntly Rd,2,u,638000.0,SP,Gary,19/11/2016,8.9,2.0,2.0,1.0,0.0,,,-37.8862,145.0175,28
30 Pyne St,4,h,131000.0,PI,Rodney,25/02/2017,8.9,4.0,1.0,2.0,499.0,155.0,1920.0,-37.8864,145.0242,28
3/97 Murray St,3,h,1090000.0,S,Gary,30/07/2016,8.9,2.0,1.0,2.0,275.0,,,-37.885,145.0189,28
14 Arthur St,3,h,1365000.0,S,McGrath,3/09/2016,8.1,3.0,1.0,0.0,513.0,,,-37.8678,145.02700000000004,29
452 Dandenong Rd,3,h,1750000.0,S,Marshall,3/09/2016,8.1,3.0,2.0,2.0,692.0,313.0,1955.0,-37.8629,145.019,29
12/378 Dandenong Rd,2,u,580000.0,SP,Abercromby's,4/03/2017,8.1,2.0,1.0,1.0,934.0,68.0,2012.0,-37.8607,145.0116,29
25 Malvern Gr,3,h,2005000.0,PI,Jellis,7/05/2016,8.1,4.0,2.0,3.0,361.0,237.0,2014.0,-37.8694,145.0296,29
5/698 Inkerman Rd,2,u,523000.0,SP,hockingstuart,7/11/2016,8.1,2.0,1.0,1.0,0.0,,1960.0,-37.8694,145.0246,29
9/400 Dandenong Rd,2,u,420000.0,VB,Gary,10/09/2016,8.1,2.0,1.0,1.0,0.0,56.0,2012.0,-37.861,145.0136,29
8/359 Balaclava Rd,1,u,290000.0,VB,hockingstuart,10/12/2016,8.1,1.0,1.0,1.0,952.0,43.0,1970.0,-37.8744,145.0371,29
3/374 Dandenong Rd,2,u,608000.0,SP,Gary,10/12/2016,8.1,2.0,1.0,1.0,0.0,,,-37.8607,145.0112,29
9/370 Orrong Rd,2,u,570000.0,S,hockingstuart,12/11/2016,8.1,2.0,1.0,1.0,0.0,67.0,,-37.8625,145.0103,29
7/19 Hawthorn Rd,2,u,520500.0,S,Gary,13/08/2016,8.1,2.0,1.0,1.0,0.0,,,-37.8681,145.0258,29
11 Arthur St,3,h,1400000.0,SP,Gary,15/10/2016,8.1,3.0,1.0,0.0,270.0,139.0,1910.0,-37.868,145.0269,29
28 Wanda Rd,4,h,2830000.0,S,Gary,15/10/2016,8.1,4.0,2.0,2.0,723.0,,,-37.8672,145.0225,29
13/378 Dandenong Rd,2,u,722000.0,SP,Castran,17/09/2016,8.1,2.0,2.0,2.0,0.0,,2011.0,-37.8607,145.0116,29
15/496 Dandenong Rd,2,u,450000.0,S,Gary,18/03/2017,8.1,2.0,1.0,1.0,1092.0,63.0,2014.0,-37.8647,145.0232,29
7 Cambridge St,3,h,1870000.0,S,Marshall,25/02/2017,8.1,3.0,2.0,1.0,339.0,,,-37.8622,145.0112,29
6/378 Dandenong Rd,2,u,622000.0,PI,Castran,25/02/2017,8.1,2.0,2.0,1.0,934.0,,,-37.8607,145.0116,29
1/13 Narong Rd,2,u,536000.0,S,Gary,25/02/2017,8.1,2.0,1.0,1.0,771.0,82.0,1960.0,-37.8686,145.0239,29
127 Normanby Rd,4,h,2625000.0,S,Marshall,25/02/2017,8.1,4.0,2.0,3.0,836.0,,1910.0,-37.8696,145.0323,29
1/355 Alma Rd,2,u,570000.0,S,Gary,28/05/2016,8.1,2.0,1.0,2.0,0.0,,,-37.8652,145.0198,29
3/388 Dandenong Rd,2,u,550000.0,VB,Gary,28/05/2016,8.1,2.0,1.0,1.0,0.0,67.0,2011.0,-37.8609,145.0126,29
123 Normanby Rd,4,h,2170000.0,S,Gary,28/08/2016,8.1,4.0,2.0,1.0,810.0,215.0,1915.0,-37.8698,145.0325,29
26 Flowers St,3,h,1577500.0,S,hockingstuart,3/09/2016,9.3,3.0,2.0,2.0,357.0,144.0,1935.0,-37.8896,145.0307,30
5 Alder St,3,h,1460000.0,S,hockingstuart,3/12/2016,9.3,3.0,1.0,2.0,451.0,121.0,1960.0,-37.8874,145.019,30
10/468 Kooyong Rd,1,u,275500.0,PI,Gary,3/12/2016,9.3,1.0,1.0,1.0,0.0,44.0,1960.0,-37.8961,145.0132,30
15 Dover St,2,h,1065000.0,S,hockingstuart,4/03/2017,9.3,2.0,1.0,1.0,273.0,114.0,1930.0,-37.895,145.02200000000005,30
9 Filbert St,3,h,1470000.0,S,Gary,7/05/2016,9.3,3.0,2.0,2.0,296.0,,1910.0,-37.8906,145.0224,30
1 Rotorua St,2,h,1012000.0,S,Gary,7/05/2016,9.3,2.0,1.0,1.0,0.0,,,-37.9002,145.02700000000004,30
4/21 Gardenvale Rd,3,u,599000.0,S,Gary,7/11/2016,9.3,3.0,1.0,1.0,88.0,100.0,,-37.8997,145.0168,30
303 Bambra Rd,3,h,1160500.0,S,Gary,8/10/2016,9.3,3.0,2.0,1.0,358.0,,1930.0,-37.8965,145.0269,30
11/8 Bealiba Rd,2,u,650000.0,VB,hockingstuart,8/10/2016,9.3,2.0,1.0,1.0,100.0,,,-37.8912,145.0289,30
80 Sycamore St,3,h,1170000.0,S,Biggin,8/10/2016,9.3,3.0,1.0,1.0,359.0,120.0,,-37.8898,145.0196,30
5 Filbert St,3,h,1314000.0,S,Gary,10/09/2016,9.3,3.0,1.0,2.0,339.0,,,-37.8906,145.0221,30
1/2 Griffiths St,4,t,1030000.0,VB,Gary,10/12/2016,9.3,4.0,2.0,2.0,216.0,165.0,1995.0,-37.8887,145.0318,30
7A Alfada St,2,h,1225000.0,S,Biggin,12/11/2016,9.3,2.0,1.0,2.0,284.0,99.0,1940.0,-37.8958,145.0215,30
22 Sycamore St,3,h,1450000.0,S,RT,13/08/2016,9.3,2.0,2.0,1.0,478.0,120.0,1925.0,-37.8893,145.0161,30
8 Lygon St,4,h,1774500.0,S,hockingstuart,14/05/2016,9.3,4.0,2.0,2.0,575.0,256.0,2008.0,-37.8993,145.0254,30
1/19 Trevascus St,2,u,525500.0,S,Ray,15/10/2016,9.3,2.0,1.0,1.0,831.0,80.0,1970.0,-37.8974,145.0294,30
28 Ellington St,4,h,1960000.0,PI,hockingstuart,16/04/2016,9.3,5.0,3.0,4.0,708.0,,,-37.8923,145.0177,30
23 Lygon St,2,h,825000.0,S,Gary,16/04/2016,9.3,2.0,1.0,1.0,367.0,85.0,1930.0,-37.8995,145.0241,30
136 Sycamore St,2,h,1262000.0,S,hockingstuart,16/04/2016,9.3,4.0,2.0,2.0,464.0,272.0,2016.0,-37.8901,145.0224,30
5 Field St,3,u,1110000.0,S,hockingstuart,16/07/2016,9.3,3.0,2.0,1.0,299.0,,,-37.8891,145.0294,30
48A Jupiter St,4,t,1410000.0,S,Gary,19/11/2016,9.3,4.0,2.0,3.0,342.0,,2005.0,-37.8957,145.0196,30
147 Booran Rd,3,h,1303500.0,S,hockingstuart,22/05/2016,9.3,3.0,1.0,2.0,699.0,,,-37.8936,145.0366,30
18b Marara Rd,2,h,1115000.0,S,Gary,22/08/2016,9.3,2.0,1.0,1.0,402.0,,,-37.8967,145.0313,30
89 Clarence St,2,h,1340000.0,S,Buxton,24/09/2016,9.3,2.0,1.0,1.0,505.0,117.0,1940.0,-37.8928,145.0149,30
393 North Rd,3,h,1200000.0,S,hockingstuart,25/02/2017,9.3,3.0,2.0,2.0,494.0,135.0,1920.0,-37.9027,145.0322,30
5 Sycamore St,3,h,1570000.0,S,Matthew,25/02/2017,9.3,3.0,1.0,2.0,520.0,,,-37.8889,145.0151,30
30 Cedar St,2,h,1001000.0,S,Biggin,26/07/2016,9.3,2.0,2.0,1.0,255.0,85.0,1890.0,-37.8887,145.0207,30
42 Poplar St,3,h,1330000.0,S,Gary,26/07/2016,9.3,3.0,1.0,1.0,312.0,123.0,1926.0,-37.8893,145.0196,30
5/27 Venus St,1,u,290000.0,VB,Gary,27/11/2016,9.3,1.0,1.0,1.0,0.0,,1970.0,-37.8943,145.0145,30
245 Booran Rd,4,h,1570000.0,S,hockingstuart,28/05/2016,9.3,3.0,2.0,2.0,641.0,215.0,1970.0,-37.9012,145.035,30
364 Kooyong Rd,4,h,1916000.0,S,Biggin,28/05/2016,9.3,4.0,2.0,2.0,630.0,205.0,1910.0,-37.8894,145.0145,30
3/21 Gardenvale Rd,2,u,500000.0,VB,Ray,28/08/2016,9.3,2.0,1.0,1.0,90.0,,,-37.8996,145.0169,30
3/10 Euroka St,3,t,752000.0,S,Buxton,3/09/2016,13.6,3.0,2.0,1.0,182.0,,,-37.8786,145.1015,31
16 Moroney Dr,4,h,1507000.0,S,Jellis,3/12/2016,13.6,4.0,2.0,2.0,600.0,,,-37.8891,145.1002,31
8B Moorong St,4,h,890000.0,VB,Purplebricks,4/02/2016,13.6,4.0,3.0,2.0,288.0,158.0,2014.0,-37.8801,145.1051,31
2/44 Railway Pde S,3,u,700000.0,S,Bekdon,4/06/2016,13.6,2.0,2.0,1.0,224.0,94.0,2006.0,-37.8738,145.1054,31
23 Thurloo St,3,h,1000000.0,S,Buxton,6/08/2016,13.6,3.0,1.0,2.0,606.0,,,-37.8784,145.0958,31
2/4 Lenna Ct,3,t,865000.0,S,Buxton,7/11/2016,13.6,3.0,2.0,2.0,277.0,143.0,2010.0,-37.8796,145.1044,31
2/12 Moorong St,4,t,1042500.0,S,Buxton,11/02/2017,13.6,4.0,3.0,2.0,209.0,160.0,2016.0,-37.8805,145.105,31
5 Bullarto St,2,h,1002000.0,S,Ray,13/08/2016,13.6,2.0,1.0,1.0,585.0,97.0,1950.0,-37.8792,145.0948,31
15 Aloomba St,3,h,992000.0,S,Gary,15/10/2016,13.6,3.0,1.0,2.0,586.0,,,-37.8805,145.0978,31
4/5 Rae St,3,h,650000.0,PI,hockingstuart,15/10/2016,13.6,3.0,2.0,2.0,160.0,101.0,2000.0,-37.8859,145.0934,31
1/19 Warrina St,4,t,965000.0,SP,Buxton,17/09/2016,13.6,4.0,3.0,2.0,273.0,182.0,2012.0,-37.8742,145.105,31
3 Yambie La,3,h,920000.0,PI,LITTLE,17/09/2016,13.6,4.0,2.0,2.0,515.0,,,-37.8837,145.106,31
7 Inga Ct,3,h,1301000.0,S,Buxton,18/03/2017,13.6,3.0,1.0,2.0,620.0,88.0,1970.0,-37.8812,145.105,31
2 Fitzroy Gr,4,h,1415500.0,S,hockingstuart,22/05/2016,13.6,3.0,2.0,1.0,1033.0,164.0,1950.0,-37.8738,145.1095,31
1/32 Kelly St,2,h,705000.0,S,Buxton,24/09/2016,13.6,2.0,1.0,1.0,842.0,,1972.0,-37.8859,145.0979,31
4 Jacana Ct,4,h,1260000.0,S,McGrath,25/02/2017,13.6,4.0,2.0,2.0,500.0,277.0,2001.0,-37.8845,145.1027,31
15 Grandview Rd,3,h,1460000.0,S,Buxton,27/11/2016,13.6,3.0,1.0,1.0,705.0,,,-37.8746,145.1071,31
23 Jacana St,3,h,1000000.0,SP,Thomson,27/11/2016,13.6,3.0,1.0,2.0,630.0,105.0,1960.0,-37.8838,145.102,31
2/2 Robert St,3,t,845000.0,S,Buxton,28/05/2016,13.6,3.0,2.0,1.0,177.0,111.0,2012.0,-37.8824,145.1042,31
2/19 Thurloo St,4,t,881000.0,S,Ray,28/08/2016,13.6,3.0,2.0,1.0,188.0,137.0,2014.0,-37.8781,145.0955,31
60a Hodgkinson St,3,h,1270000.0,S,Nelson,3/09/2016,3.4,3.0,2.0,0.0,187.0,,,-37.7902,144.9894,32
66 Noone St,2,h,780000.0,S,Harrington,4/06/2016,3.4,2.0,1.0,1.0,155.0,85.0,1880.0,-37.7934,144.9922,32
13 Caroline St,3,h,1060000.0,S,Nelson,7/11/2016,3.4,3.0,1.0,0.0,193.0,98.0,1900.0,-37.7899,144.9984,32
3/68 Noone St,3,t,930000.0,S,Collins,7/11/2016,3.4,3.0,2.0,1.0,124.0,116.0,2000.0,-37.7934,144.9923,32
86 Hodgkinson St,2,h,1420000.0,S,Collins,8/10/2016,3.4,2.0,1.0,0.0,180.0,,,-37.7898,144.9903,32
119 Roseneath St,2,h,1075000.0,S,Nelson,8/10/2016,3.4,2.0,1.0,1.0,174.0,85.0,1890.0,-37.7928,144.9987,32
85 Roseneath St,2,h,1105000.0,S,Harrington,8/10/2016,3.4,2.0,1.0,1.0,185.0,84.0,1910.0,-37.7927,144.9981,32
413a Wellington St,2,h,1209000.0,S,Jellis,8/10/2016,3.4,2.0,1.0,1.0,140.0,97.0,1910.0,-37.7919,144.9884,32
32 Caroline St,4,h,3010000.0,S,Collins,10/09/2016,3.4,4.0,3.0,2.0,382.0,250.0,1903.0,-37.7897,144.9992,32
17 Myrtle St,2,h,1435000.0,S,Nelson,10/09/2016,3.4,2.0,1.0,2.0,239.0,96.0,1900.0,-37.7918,144.997,32
12 Kiewa St,2,h,1417000.0,SP,Nelson,10/12/2016,3.4,2.0,1.0,0.0,197.0,,,-37.7924,145.0002,32
40 Myrtle St,2,h,1290000.0,S,Jellis,10/12/2016,3.4,2.0,1.0,0.0,164.0,99.0,1890.0,-37.7912,144.9967,32
195 Gold St,3,h,1226000.0,S,Nelson,12/11/2016,3.4,3.0,2.0,0.0,0.0,,,-37.7917,144.9902,32
3/30 Edmund St,2,u,495000.0,S,iTRAK,13/08/2016,3.4,2.0,1.0,1.0,515.0,50.0,1970.0,-37.7875,145.0049,32
4/56 John St,1,u,325000.0,VB,Collins,13/08/2016,3.4,1.0,1.0,1.0,0.0,,,-37.7873,144.9958,32
11 Page St,3,h,1370000.0,S,Collins,13/08/2016,3.4,3.0,2.0,1.0,176.0,135.0,1890.0,-37.7921,144.9898,32
36 Ogrady St,2,h,1620000.0,S,Nelson,15/10/2016,3.4,2.0,1.0,2.0,251.0,,,-37.787,144.9988,32
69 Field St,3,h,1180000.0,SP,Harrington,16/07/2016,3.4,3.0,3.0,1.0,142.0,,1995.0,-37.7928,145.0021,32
40 Spensley St,2,h,1405000.0,S,Nelson,17/09/2016,3.4,2.0,1.0,0.0,219.0,,,-37.7882,144.9984,32
2A Council St,2,h,880000.0,VB,Nelson,18/03/2017,3.4,2.0,1.0,0.0,100.0,,,-37.7923,144.9858,32
31 Fenwick St,2,h,1450000.0,VB,Nelson,18/03/2017,3.4,2.0,1.0,0.0,156.0,107.0,1890.0,-37.7892,144.9999,32
104 Noone St,2,h,856000.0,S,Nelson,18/03/2017,3.4,2.0,1.0,0.0,170.0,,,-37.7936,144.995,32
7/37 Groom St,2,u,885500.0,S,Collins,18/06/2016,3.4,2.0,2.0,2.0,0.0,136.0,2005.0,-37.7937,144.9983,32
49 Fenwick St,3,h,1680000.0,S,Nelson,19/11/2016,3.4,3.0,2.0,1.0,201.0,,,-37.7884,145.0,32
1 John St,2,h,730000.0,S,Nelson,22/05/2016,3.4,2.0,1.0,1.0,103.0,,,-37.7898,144.9957,32
18 Barries Pl,3,t,825000.0,SP,Jellis,24/09/2016,3.4,3.0,3.0,1.0,67.0,119.0,2010.0,-37.7946,144.9989,32
1/493 Hoddle St,2,u,533000.0,SP,Jellis,24/09/2016,3.4,2.0,1.0,1.0,0.0,,1970.0,-37.7931,144.9938,32
20 Gordon St,2,h,1430000.0,S,Collins,25/02/2017,3.4,2.0,1.0,0.0,151.0,,1910.0,-37.7912,144.9963,32
1/1 Marshall Pl,4,h,1506000.0,S,Nelson,25/02/2017,3.4,4.0,2.0,0.0,162.0,169.0,1995.0,-37.7885,144.9994,32
48 Council St,3,h,1150000.0,VB,Nelson,26/07/2016,3.4,3.0,1.0,1.0,169.0,,,-37.7925,144.9877,32
3 Hodgkinson St,3,h,1360000.0,S,Nelson,27/06/2016,3.4,3.0,1.0,0.0,118.0,118.0,1880.0,-37.7921,144.9858,32
53 John St,2,t,640000.0,VB,Miles,28/08/2016,3.4,2.0,1.0,1.0,0.0,,,-37.7873,144.9961,32
29 Molesworth St,2,h,850000.0,SP,Brad,3/09/2016,7.8,2.0,1.0,1.0,371.0,93.0,1930.0,-37.735,144.9589,33
10 Shackell St,3,h,784000.0,S,Nelson,3/09/2016,7.8,2.0,1.0,1.0,286.0,110.0,1890.0,-37.7427,144.952,33
37 Elizabeth St,3,h,680000.0,S,Nelson,3/12/2016,7.8,3.0,1.0,0.0,702.0,108.0,1950.0,-37.7391,144.9812,33
38 Harding St,4,h,1221000.0,S,Nelson,3/12/2016,7.8,4.0,1.0,2.0,596.0,,,-37.7456,144.9696,33
1/58 Moore St,2,t,807000.0,S,Nelson,3/12/2016,7.8,2.0,2.0,1.0,0.0,176.0,2010.0,-37.7546,144.9713,33
181 Munro St,3,h,790000.0,S,Del,3/12/2016,7.8,3.0,1.0,2.0,371.0,,,-37.7435,144.9507,33
43 Ohea St,4,h,955000.0,S,Nelson,3/12/2016,7.8,4.0,2.0,1.0,295.0,,,-37.7374,144.9617,33
8 Watchtower Rd,3,h,675000.0,PI,Walshe,4/02/2016,7.8,3.0,1.0,2.0,142.0,123.0,2005.0,-37.7382,144.97299999999996,33
12 Hardwick St,3,h,1010000.0,S,Jellis,4/03/2017,7.8,3.0,2.0,1.0,278.0,278.0,,-37.7494,144.9686,33
3 Mavis St,3,h,1202000.0,S,Nelson,4/03/2017,7.8,3.0,2.0,2.0,423.0,140.0,1940.0,-37.7493,144.9559,33
243 Moreland Rd,3,h,1370000.0,S,Ray,4/03/2017,7.8,3.0,1.0,1.0,233.0,180.0,1890.0,-37.7549,144.9611,33
61 Murray Rd,2,h,550000.0,S,hockingstuart,4/03/2017,7.8,2.0,1.0,1.0,0.0,,,-37.7358,144.9801,33
45 Portland St,3,h,1000000.0,VB,Jellis,4/03/2017,7.8,3.0,2.0,3.0,370.0,110.0,1920.0,-37.744,144.9501,33
6 Stawell St,3,h,935500.0,S,Brad,4/03/2017,7.8,3.0,1.0,2.0,386.0,,,-37.7364,144.96,33
35 The Grove,8,u,2250000.0,PI,Peter,4/03/2017,7.8,4.0,2.0,4.0,983.0,,,-37.7517,144.9699,33
171 Moreland Rd,4,h,145000.0,PI,Jellis,4/06/2016,7.8,3.0,1.0,1.0,536.0,164.0,1910.0,-37.7555,144.9658,33
191 Ohea St,4,h,905000.0,S,LITTLE,4/06/2016,7.8,3.0,2.0,1.0,439.0,,,-37.7363,144.9507,33
33 Wellington St,3,h,860000.0,S,Peter,4/06/2016,7.8,3.0,1.0,1.0,283.0,109.0,1915.0,-37.7416,144.9582,33
16 Linda St,2,h,953000.0,S,Jellis,6/08/2016,7.8,2.0,1.0,1.0,170.0,101.0,1890.0,-37.7508,144.9608,33
6 Shackell St,2,h,735000.0,SP,Nelson,6/08/2016,7.8,2.0,1.0,1.0,280.0,93.0,1900.0,-37.7429,144.952,33
15/1 Manna Gum Ct,3,t,550000.0,PI,Brace,7/05/2016,7.8,3.0,2.0,2.0,0.0,168.0,,-37.7372,144.9764,33
56 Rose St,3,h,1100000.0,VB,Nelson,7/05/2016,7.8,3.0,1.0,1.0,576.0,,,-37.7432,144.9474,33
27 Higinbotham St,3,h,947000.0,S,Brad,7/11/2016,7.8,3.0,1.0,1.0,372.0,125.0,1920.0,-37.735,144.9581,33
2/6 McKay St,2,u,500000.0,SP,Jellis,7/11/2016,7.8,2.0,1.0,1.0,0.0,74.0,1970.0,-37.7405,144.9644,33
2/58 Moore St,3,t,865000.0,S,Nelson,7/11/2016,7.8,3.0,2.0,2.0,263.0,,2008.0,-37.7546,144.9713,33
7/13 Clarendon St,2,u,466000.0,S,Nelson,8/10/2016,7.8,2.0,1.0,1.0,0.0,62.0,1980.0,-37.7527,144.9522,33
3/58 Moore St,3,t,740000.0,VB,Nelson,8/10/2016,7.8,3.0,2.0,1.0,255.0,164.0,2014.0,-37.7546,144.9713,33
105 Moreland Rd,3,h,812000.0,S,Nicholson,8/10/2016,7.8,3.0,1.0,1.0,370.0,130.0,1930.0,-37.7561,144.9718,33
107 Moreland Rd,3,h,766000.0,S,Nicholson,8/10/2016,7.8,3.0,1.0,0.0,378.0,124.0,1930.0,-37.7561,144.9716,33
109 Moreland Rd,3,h,825000.0,S,Nicholson,8/10/2016,7.8,2.0,1.0,1.0,374.0,118.0,1910.0,-37.7561,144.9715,33
2 Quarry Cct,4,h,1131000.0,S,Nelson,8/10/2016,7.8,4.0,2.0,2.0,494.0,300.0,2001.0,-37.7359,144.9711,33
114 Reynard St,3,h,1064000.0,SP,Nelson,8/10/2016,7.8,3.0,2.0,1.0,417.0,178.0,1940.0,-37.7478,144.9583,33
3/262 Reynard St,2,t,610000.0,PI,Ray,8/10/2016,7.8,2.0,2.0,1.0,114.0,,,-37.7466,144.9482,33
60 Glengyle St,3,h,1210000.0,S,Nelson,10/09/2016,7.8,3.0,1.0,1.0,379.0,125.0,1925.0,-37.7544,144.9764,33
8/6 McKay St,2,u,434000.0,S,Nelson,10/09/2016,7.8,2.0,1.0,1.0,0.0,80.0,1965.0,-37.7405,144.9644,33
4/44 Victoria St,2,u,653000.0,SP,Peter,10/09/2016,7.8,2.0,1.0,1.0,129.0,107.0,2012.0,-37.7422,144.9606,33
2/118 Bruce St,3,t,640000.0,S,Nelson,10/12/2016,7.8,3.0,1.0,2.0,119.0,109.0,1995.0,-37.7403,144.9491,33
31 Elizabeth St,2,h,820000.0,S,Peter,10/12/2016,7.8,2.0,1.0,1.0,597.0,,1960.0,-37.7402,144.9807,33
7 Gladstone St,4,h,1250000.0,S,Jellis,10/12/2016,7.8,4.0,1.0,2.0,613.0,,,-37.7433,144.9762,33
21 Governors Rd,5,h,1335000.0,S,Nelson,10/12/2016,7.8,5.0,3.0,2.0,390.0,,,-37.7376,144.9726,33
56 The Grove,6,h,1900000.0,VB,hockingstuart,10/12/2016,7.8,6.0,2.0,2.0,1060.0,,,-37.7523,144.9725,33
5 Donne St,3,h,1090000.0,S,ASL,12/11/2016,7.8,3.0,1.0,1.0,464.0,,,-37.753,144.9485,33
41 Service St,3,h,1130000.0,SP,Re,12/11/2016,7.8,3.0,1.0,2.0,735.0,127.0,1920.0,-37.7379,144.9623,33
1 Sutherland St,4,h,1145000.0,S,Nelson,12/11/2016,7.8,4.0,2.0,2.0,480.0,,,-37.7402,144.9607,33
38 Budds St,2,t,657000.0,SP,Nelson,13/08/2016,7.8,2.0,1.0,2.0,138.0,,,-37.7427,144.9711,33
1e The Avenue,3,h,763000.0,S,Woodards,14/05/2016,7.8,3.0,2.0,1.0,107.0,110.0,1994.0,-37.7517,144.963,33
53 Hawthorn St,2,h,903000.0,S,Nelson,15/10/2016,7.8,2.0,1.0,1.0,253.0,94.0,1910.0,-37.7484,144.9521,33
4 Miller St,3,h,1000000.0,S,Nelson,15/10/2016,7.8,3.0,1.0,1.0,431.0,117.0,1970.0,-37.75,144.9695,33
13 Shaftsbury St,4,h,1742000.0,SP,Nelson,15/10/2016,7.8,3.0,2.0,4.0,482.0,256.0,2006.0,-37.7529,144.9534,33
12 Gordon St,4,h,865000.0,S,Brad,16/04/2016,7.8,4.0,1.0,1.0,452.0,125.0,1925.0,-37.7525,144.94799999999995,33
11/5 Industry La,2,u,485000.0,VB,Nelson,16/04/2016,7.8,2.0,2.0,1.0,0.0,96.0,1880.0,-37.7367,144.9701,33
23 Berry St,3,h,1278000.0,S,Peter,16/07/2016,7.8,3.0,2.0,3.0,405.0,156.0,1930.0,-37.7464,144.959,33
4/93 Harding St,3,t,590000.0,VB,Ray,17/09/2016,7.8,3.0,2.0,2.0,0.0,109.0,2013.0,-37.7458,144.9751,33
45 Kerferd St,4,h,1000000.0,SP,Peter,17/09/2016,7.8,4.0,2.0,1.0,381.0,,1938.0,-37.7337,144.9548,33
15/1 Manna Gum Ct,3,t,590000.0,PI,Brace,17/09/2016,7.8,3.0,2.0,2.0,0.0,168.0,,-37.7372,144.9764,33
3 Phillips St,3,h,1030000.0,S,Considine,17/09/2016,7.8,3.0,1.0,1.0,404.0,,,-37.7504,144.9537,33
19 Audley St,4,h,1136000.0,S,Ray,18/03/2017,7.8,4.0,3.0,1.0,420.0,146.0,1920.0,-37.7501,144.96200000000005,33
13 Carron St,2,t,635000.0,S,Ray,18/03/2017,7.8,2.0,1.0,1.0,97.0,95.0,2014.0,-37.7516,144.9623,33
196 Ohea St,3,h,1061000.0,S,Brad,18/03/2017,7.8,3.0,1.0,1.0,527.0,,,-37.7359,144.9502,33
9 Vincent St,4,h,1155000.0,S,Nelson,18/03/2017,7.8,4.0,1.0,2.0,370.0,,,-37.7431,144.95600000000005,33
6 Farm Rd,4,h,650000.0,PI,RT,18/06/2016,7.8,3.0,2.0,2.0,312.0,,,-37.7362,144.9714,33
89 Gordon St,3,h,1286000.0,S,Nelson,18/06/2016,7.8,3.0,2.0,2.0,435.0,,,-37.7477,144.9483,33
31 Hardwick St,3,h,885000.0,S,Nelson,18/06/2016,7.8,3.0,1.0,2.0,255.0,,1920.0,-37.7493,144.9701,33
13 Hudson St,4,h,1160000.0,PI,Jellis,18/06/2016,7.8,4.0,2.0,5.0,371.0,,1888.0,-37.7436,144.96200000000005,33
203 Munro St,4,h,1400000.0,S,RE,18/06/2016,7.8,4.0,1.0,1.0,856.0,189.0,1970.0,-37.7432,144.9481,33
