suburb_name,suburb_postcode,suburb_region_name,suburb_property_count,suburb_council_area,suburb_description_wordcount,suburb_neighborhoods_overview_wordcount,suburb_transit_wordcount,suburb_rental_dailyprice
Hampton East,3188.0,Southern Metropolitan,2356.0,"['Bayside', 'Kingston']","[('hampton', 72), ('beach', 62), ('bedroom', 50), ('home', 49), ('walk', 48), ('train', 42), ('large', 35), ('area', 34), ('house', 32), ('station', 32)]","[('hampton', 39), ('beach', 28), ('brighton', 22), ('walk', 18), ('shops', 17), ('drive', 16), ('sandringham', 16), ('cafes', 16), ('min', 15), ('great', 15)]","[('station', 49), ('train', 47), ('walk', 37), ('bus', 33), ('hampton', 30), ('street', 25), ('minute', 21), ('min', 16), ('city', 15), ('melbourne', 14)]",191.0
Hawthorn,3122.0,Southern Metropolitan,11308.0,['Boroondara'],"[('apartment', 173), ('bedroom', 103), ('city', 100), ('hawthorn', 93), ('walk', 87), ('tram', 86), ('melbourne', 86), ('kitchen', 84), ('room', 79), ('train', 67)]","[('hawthorn', 62), ('melbourne', 61), ('walk', 50), ('restaurants', 49), ('city', 42), ('away', 42), ('cafes', 40), ('road', 37), ('street', 35), (""'s"", 33)]","[('tram', 95), ('train', 87), ('walk', 77), ('station', 70), ('city', 68), ('minutes', 59), ('melbourne', 54), ('hawthorn', 36), ('glenferrie', 35), ('away', 33)]",169.6161616161616
Heidelberg Heights,3081.0,Eastern Metropolitan,2947.0,['Banyule'],"[('room', 31), ('home', 29), ('walk', 23), ('guests', 22), ('large', 22), ('access', 21), ('street', 19), ('centre', 19), ('available', 19), ('bathroom', 18)]","[('heidelberg', 24), (';', 14), ('shopping', 12), ('road', 12), ('street', 12), ('walk', 11), ('city', 10), ('west', 10), ('restaurants', 10), ('close', 10)]","[('train', 20), ('bus', 17), ('city', 15), ('station', 14), ('walk', 13), ('take', 12), ('stop', 10), ('heidelberg', 7), ('street', 7), ('car', 7)]",96.2
Heidelberg West,3081.0,Eastern Metropolitan,2674.0,['Banyule'],"[('room', 31), ('home', 29), ('walk', 23), ('guests', 22), ('large', 22), ('access', 21), ('street', 19), ('centre', 19), ('available', 19), ('bathroom', 18)]","[('heidelberg', 24), (';', 14), ('shopping', 12), ('road', 12), ('street', 12), ('walk', 11), ('city', 10), ('west', 10), ('restaurants', 10), ('close', 10)]","[('train', 20), ('bus', 17), ('city', 15), ('station', 14), ('walk', 13), ('take', 12), ('stop', 10), ('heidelberg', 7), ('street', 7), ('car', 7)]",96.2
Hughesdale,3166.0,Southern Metropolitan,3145.0,['Monash'],"[('room', 55), ('bus', 46), ('train', 41), ('shopping', 37), ('minutes', 36), ('monash', 34), ('oakleigh', 33), ('station', 32), ('kitchen', 30), ('house', 30)]","[('oakleigh', 32), ('shopping', 27), ('centre', 25), ('monash', 21), ('chadstone', 20), ('shops', 19), ('restaurants', 17), ('away', 16), ('cafes', 16), ('short', 15)]","[('bus', 63), ('chadstone', 54), ('minutes', 53), ('train', 43), ('walk', 39), ('station', 38), ('monash', 30), ('dandenong', 27), ('oakleigh', 24), ('clayton', 19)]",89.71794871794872
Ivanhoe,3079.0,Eastern Metropolitan,5549.0,['Banyule'],"[('ivanhoe', 45), ('house', 38), ('room', 36), ('walk', 28), ('quiet', 27), ('city', 25), ('access', 23), ('train', 23), ('bedroom', 21), ('bathroom', 21)]","[('ivanhoe', 30), ('shops', 17), ('city', 16), ('walk', 16), ('quiet', 15), ('shopping', 13), ('nearby', 13), ('leafy', 12), ('close', 12), ('melbourne', 11)]","[('walk', 35), ('station', 35), ('train', 28), ('bus', 22), ('min', 20), ('minutes', 19), ('minute', 16), ('ivanhoe', 15), ('take', 15), ('heidelberg', 14)]",134.34615384615384
Kealba,3021.0,Western Metropolitan,1202.0,['Brimbank'],,,,
Keilor East,3033.0,Western Metropolitan,5629.0,"['Moonee Valley', 'Brimbank']",,,,
Kensington,3031.0,Northern Metropolitan,5263.0,"['Melbourne', 'Moonee Valley']","[('melbourne', 228), ('kensington', 133), ('city', 122), ('train', 120), ('room', 119), ('apartment', 117), ('walk', 116), ('flemington', 113), ('bedroom', 110), ('kitchen', 101)]","[('melbourne', 145), ('flemington', 107), ('kensington', 86), ('walk', 86), ('city', 68), ('racecourse', 57), ('away', 57), (""'s"", 54), ('cafes', 51), ('restaurants', 50)]","[('station', 146), ('train', 142), ('walk', 133), ('melbourne', 125), ('tram', 96), ('city', 92), ('minutes', 90), ('kensington', 81), ('km', 66), ('street', 59)]",126.36220472440945
Kew,3101.0,Southern Metropolitan,10331.0,['Boroondara'],"[('bedroom', 60), ('kew', 55), ('home', 53), ('room', 52), ('city', 52), ('melbourne', 47), ('apartment', 44), ('close', 42), (""'s"", 37), ('tram', 36)]","[('kew', 45), ('city', 31), ('walk', 27), ('restaurants', 23), ('cafes', 21), ('yarra', 21), ('close', 21), ('melbourne', 21), ('street', 20), (""'s"", 17)]","[('tram', 55), ('bus', 38), ('city', 37), ('walk', 30), ('street', 27), ('cbd', 22), ('melbourne', 20), ('minutes', 18), ('station', 17), ('away', 17)]",145.6851851851852
Kew East,3102.0,Southern Metropolitan,2671.0,['Boroondara'],,,,
Kooyong,3144.0,Southern Metropolitan,394.0,['Stonnington'],"[('malvern', 36), ('melbourne', 27), ('private', 26), ('minutes', 26), ('kitchen', 26), ('room', 25), ('shopping', 25), ('walk', 25), ('apartment', 24), (""'s"", 23)]","[('malvern', 28), ('shops', 22), ('melbourne', 18), (""'s"", 17), ('road', 16), ('glenferrie', 15), ('cafes', 14), ('restaurants', 14), ('city', 13), ('shopping', 13)]","[('tram', 31), ('malvern', 24), ('station', 24), ('city', 22), ('st', 20), ('train', 19), ('walk', 17), ('melbourne', 17), ('min', 14), ('via', 13)]",268.53846153846155
Maidstone,3012.0,Western Metropolitan,3873.0,['Maribyrnong'],"[('melbourne', 35), ('house', 35), ('home', 34), ('room', 33), ('kitchen', 33), ('bed', 32), ('bedroom', 32), ('train', 31), ('living', 30), ('footscray', 28)]","[('footscray', 32), (""'s"", 27), ('restaurants', 18), ('cafes', 17), ('melbourne', 17), ('great', 14), ('neighbourhood', 13), ('away', 13), ('shopping', 12), ('drive', 12)]","[('city', 35), ('station', 34), ('bus', 32), ('train', 31), ('footscray', 29), ('walk', 25), ('away', 23), ('minutes', 21), ('mins', 20), ('drive', 17)]",118.43243243243244
Malvern,3144.0,Southern Metropolitan,4675.0,['Stonnington'],"[('malvern', 36), ('melbourne', 27), ('private', 26), ('minutes', 26), ('kitchen', 26), ('room', 25), ('shopping', 25), ('walk', 25), ('apartment', 24), (""'s"", 23)]","[('malvern', 28), ('shops', 22), ('melbourne', 18), (""'s"", 17), ('road', 16), ('glenferrie', 15), ('cafes', 14), ('restaurants', 14), ('city', 13), ('shopping', 13)]","[('tram', 31), ('malvern', 24), ('station', 24), ('city', 22), ('st', 20), ('train', 19), ('walk', 17), ('melbourne', 17), ('min', 14), ('via', 13)]",268.53846153846155
Malvern East,3145.0,Southern Metropolitan,8801.0,['Stonnington'],"[('room', 120), ('shopping', 76), ('kitchen', 74), ('apartment', 61), ('private', 60), ('house', 59), ('bed', 54), ('walk', 54), ('chadstone', 54), ('station', 52)]","[('shopping', 49), ('malvern', 40), ('restaurants', 32), ('walk', 29), ('away', 29), ('golf', 27), ('parks', 26), ('chadstone', 26), ('around', 26), ('’', 26)]","[('station', 63), ('walk', 58), ('train', 47), ('bus', 44), ('minute', 31), ('melbourne', 29), ('around', 26), ('city', 25), ('car', 24), ('malvern', 23)]",124.62121212121212
Maribyrnong,3032.0,Western Metropolitan,4918.0,['Maribyrnong'],"[('apartment', 95), ('melbourne', 89), ('city', 79), ('walk', 79), ('room', 73), ('tram', 72), ('access', 71), ('bedroom', 69), ('close', 68), ('kitchen', 63)]","[('shopping', 57), ('melbourne', 53), ('river', 48), ('centre', 44), ('walk', 40), ('maribyrnong', 36), ('highpoint', 32), ('away', 31), (""'s"", 30), ('racecourse', 30)]","[('tram', 110), ('station', 78), ('walk', 70), ('train', 67), ('city', 66), ('melbourne', 61), ('minutes', 57), ('cbd', 43), ('bus', 36), ('min', 36)]",111.68181818181819
Melbourne,3000.0,Northern Metropolitan,17496.0,['Melbourne'],"[('apartment', 4066), ('melbourne', 3408), ('bed', 1953), ('free', 1846), ('bedroom', 1789), ('station', 1635), ('city', 1591), ('cbd', 1388), ('kitchen', 1313), ('room', 1283)]","[('melbourne', 2873), ('walk', 1122), ('city', 1115), ('station', 1035), (""'s"", 1012), ('street', 987), ('cbd', 954), ('restaurants', 846), ('tram', 839), ('shopping', 829)]","[('tram', 2668), ('melbourne', 2639), ('station', 2406), ('free', 1889), ('cross', 1417), ('walk', 1391), ('southern', 1372), ('city', 1146), ('street', 1135), ('airport', 1106)]",146.29947643979057
Middle Park,3206.0,Southern Metropolitan,2019.0,['Port Phillip'],"[('park', 164), ('beach', 135), ('melbourne', 126), ('albert', 117), ('city', 93), ('apartment', 91), ('house', 80), ('walk', 79), ('tram', 77), ('bedroom', 70)]","[('park', 170), ('melbourne', 107), ('albert', 101), ('beach', 62), ('middle', 58), ('st', 56), ('walk', 54), ('restaurants', 43), ('kilda', 41), ('cafes', 41)]","[('tram', 111), ('st', 67), ('melbourne', 64), ('walk', 63), ('city', 61), ('minutes', 58), ('park', 46), ('street', 42), ('kilda', 40), ('away', 40)]",227.01149425287358
Mont Albert,3127.0,Eastern Metropolitan,2079.0,"['Whitehorse', 'Boroondara']","[('train', 54), ('station', 44), ('place', 36), ('hill', 35), ('box', 31), ('home', 29), ('city', 29), ('bedroom', 29), ('close', 29), ('house', 29)]","[('melbourne', 23), ('surrey', 21), ('hills', 20), ('walk', 17), ('albert', 16), ('city', 15), ('box', 15), ('shops', 14), ('away', 14), ('hill', 14)]","[('train', 50), ('station', 45), ('km', 40), ('shopping', 34), ('tram', 30), ('hill', 26), ('school', 25), ('box', 23), ('walk', 23), ('melbourne', 20)]",84.62162162162163
Moonee Ponds,3039.0,Western Metropolitan,6232.0,['Moonee Valley'],"[('room', 47), ('moonee', 42), ('home', 40), ('walk', 37), ('kitchen', 37), ('melbourne', 37), ('city', 30), ('access', 29), ('spacious', 28), ('minutes', 28)]","[('moonee', 40), ('ponds', 30), ('melbourne', 25), ('street', 24), ('walk', 24), ('shopping', 23), ('restaurants', 19), ('away', 18), ('puckle', 17), ('minutes', 15)]","[('melbourne', 59), ('tram', 55), ('minutes', 48), ('train', 46), ('moonee', 46), ('walk', 42), ('bus', 36), ('ponds', 36), ('city', 32), ('minute', 29)]",105.5
Moorabbin,3189.0,Southern Metropolitan,2555.0,['Kingston'],,,,
Newport,3015.0,Western Metropolitan,5498.0,['Hobsons Bay'],"[('newport', 40), ('house', 39), ('train', 38), ('home', 38), ('bedroom', 37), ('walk', 35), ('area', 35), ('minutes', 34), ('williamstown', 33), ('access', 33)]","[('williamstown', 31), ('newport', 27), ('cafes', 24), ('minute', 21), ('walk', 20), ('great', 18), ('restaurants', 16), ('city', 16), ('melbourne', 14), ('suburb', 11)]","[('train', 43), ('station', 35), ('minutes', 30), ('bus', 26), ('walk', 25), ('newport', 24), ('minute', 21), ('city', 20), ('melbourne', 20), ('williamstown', 17)]",120.45714285714286
Niddrie,3042.0,Western Metropolitan,2291.0,['Moonee Valley'],"[('min', 30), ('airport', 26), ('walk', 25), ('bedroom', 22), ('home', 20), ('room', 19), ('available', 18), ('tram', 18), ('house', 17), ('distance', 17)]","[('shops', 12), ('shopping', 12), ('quiet', 10), ('keilor', 8), ('tram', 8), ('also', 7), ('airport', 7), ('walk', 7), ('road', 6), ('west', 6)]","[('tram', 22), ('take', 14), ('city', 14), ('bus', 13), ('transport', 11), ('train', 10), ('stop', 10), ('cbd', 9), ('get', 9), ('minute', 8)]",75.10526315789474
North Melbourne,3051.0,Northern Metropolitan,6821.0,['Melbourne'],"[('melbourne', 511), ('apartment', 347), ('city', 220), ('queen', 210), ('bedroom', 209), ('room', 186), ('walk', 180), ('bed', 174), ('north', 174), ('kitchen', 171)]","[('melbourne', 460), ('north', 171), ('walk', 169), ('minutes', 138), ('royal', 121), (""'s"", 115), ('tram', 114), ('victoria', 113), ('street', 109), ('market', 104)]","[('tram', 318), ('melbourne', 220), ('walk', 197), ('station', 162), ('street', 126), ('city', 123), ('minutes', 107), ('st', 101), ('away', 100), ('stop', 99)]",117.78846153846153
Northcote,3070.0,Northern Metropolitan,11364.0,['Darebin'],"[('northcote', 249), ('bedroom', 190), ('room', 190), ('house', 179), ('walk', 175), ('high', 158), ('apartment', 158), ('kitchen', 158), (""'s"", 156), ('melbourne', 151)]","[('northcote', 229), ('street', 145), (""'s"", 137), ('walk', 121), ('bars', 120), ('high', 117), ('restaurants', 112), ('melbourne', 111), ('cafes', 109), ('great', 98)]","[('walk', 226), ('tram', 209), ('train', 206), ('station', 164), ('city', 158), ('street', 142), ('minutes', 112), ('minute', 105), ('st', 104), ('away', 84)]",115.68229166666667
Oak Park,3046.0,Northern Metropolitan,2651.0,['Moreland'],"[('house', 38), ('train', 36), ('bedroom', 30), ('melbourne', 29), ('room', 28), ('station', 28), ('airport', 27), ('access', 26), ('kitchen', 26), ('area', 25)]","[('minutes', 17), ('drive', 17), ('airport', 14), ('station', 12), ('melbourne', 12), ('train', 11), ('minute', 11), ('quiet', 10), ('walk', 10), ('glenroy', 10)]","[('train', 27), ('station', 25), ('city', 16), ('bus', 16), ('airport', 15), ('minutes', 15), ('walk', 15), ('away', 15), ('melbourne', 11), ('take', 9)]",73.17241379310344
Oakleigh South,3167.0,South-Eastern Metropolitan,3692.0,"['Monash', 'Kingston']",,,,
Parkville,3052.0,Northern Metropolitan,2309.0,['Melbourne'],"[('melbourne', 101), ('apartment', 69), ('living', 55), ('bedroom', 53), ('place', 49), ('city', 49), ('kitchen', 48), ('tram', 47), ('room', 46), ('park', 45)]","[('melbourne', 92), ('park', 44), ('royal', 40), ('walk', 35), (""'s"", 34), ('area', 29), ('away', 29), ('zoo', 28), ('parkville', 20), ('lovely', 20)]","[('tram', 48), ('walk', 42), ('stop', 31), ('station', 31), ('cbd', 30), ('minutes', 30), ('bus', 29), ('city', 25), ('melbourne', 25), ('train', 23)]",101.91379310344827
Pascoe Vale,3044.0,Northern Metropolitan,7485.0,['Moreland'],"[('room', 36), ('airport', 29), ('train', 29), ('melbourne', 27), ('close', 26), ('kitchen', 25), ('house', 23), ('bed', 23), ('bedroom', 23), ('home', 21)]","[('close', 15), ('great', 13), ('pascoe', 13), ('vale', 13), ('walking', 11), ('min', 11), ('neighbourhood', 10), ('city', 10), ('walk', 10), ('restaurants', 10)]","[('train', 33), ('walk', 26), ('melbourne', 24), ('station', 23), ('mins', 22), ('tram', 21), ('minute', 17), ('airport', 15), ('city', 13), ('minutes', 12)]",98.14285714285714
Port Melbourne,3207.0,Southern Metropolitan,8648.0,"['Port Phillip', 'Melbourne']","[('melbourne', 311), ('apartment', 287), ('beach', 250), ('port', 188), ('bedroom', 186), ('city', 166), ('walk', 149), ('bay', 148), ('kitchen', 131), ('bed', 128)]","[('melbourne', 309), ('port', 192), ('beach', 152), ('bay', 120), ('restaurants', 108), ('street', 104), ('walk', 94), ('cafes', 92), ('city', 91), (""'s"", 70)]","[('tram', 179), ('melbourne', 161), ('walk', 134), ('city', 132), ('minutes', 124), ('bus', 113), ('street', 101), ('minute', 70), ('st', 66), ('cbd', 65)]",213.58659217877096
Prahran,3181.0,Southern Metropolitan,7717.0,['Stonnington'],"[('apartment', 412), ('street', 343), ('chapel', 334), ('bedroom', 273), ('prahran', 249), ('walk', 230), ('melbourne', 224), ('kitchen', 222), ('st', 210), ('room', 200)]","[('street', 254), ('chapel', 228), ('prahran', 209), ('melbourne', 159), ('walk', 154), ('st', 152), ('restaurants', 141), ('bars', 126), ('cafes', 118), (""'s"", 113)]","[('walk', 252), ('tram', 244), ('station', 240), ('train', 220), ('street', 200), ('st', 151), ('city', 150), ('minutes', 144), ('prahran', 121), ('minute', 115)]",150.77906976744185
Preston,3072.0,Northern Metropolitan,14577.0,"['Darebin', 'Banyule']","[('preston', 115), ('room', 101), ('house', 89), ('tram', 86), ('bedroom', 78), ('kitchen', 75), ('train', 73), ('street', 72), ('walk', 71), ('city', 68)]","[('preston', 118), ('street', 61), ('market', 57), ('high', 47), ('walk', 43), ('great', 41), ('restaurants', 41), ('food', 40), ('shops', 35), ('shopping', 35)]","[('walk', 118), ('tram', 112), ('station', 96), ('train', 78), ('city', 78), ('street', 74), ('min', 51), ('minutes', 50), ('minute', 48), ('bus', 45)]",103.68539325842697
Reservoir,3073.0,Northern Metropolitan,21650.0,['Darebin'],"[('house', 42), ('reservoir', 38), ('home', 37), ('room', 32), ('train', 28), ('street', 28), ('kitchen', 27), ('close', 26), ('station', 26), ('walk', 24)]","[('walk', 24), ('park', 23), ('reservoir', 22), ('’', 17), ('quiet', 15), ('lake', 14), ('street', 13), ('min', 13), ('shopping', 12), ('cafes', 12)]","[('walk', 42), ('train', 39), ('bus', 32), ('station', 31), ('min', 27), ('city', 24), ('minutes', 23), ('reservoir', 23), ('tram', 22), ('melbourne', 20)]",71.0
Richmond,3121.0,Northern Metropolitan,14949.0,['Yarra'],"[('apartment', 514), ('richmond', 465), ('melbourne', 443), ('bedroom', 439), ('city', 361), ('walk', 315), ('kitchen', 308), (""'s"", 299), ('street', 299), ('bed', 276)]","[('richmond', 379), ('melbourne', 320), ('walk', 310), ('street', 295), ('restaurants', 232), (""'s"", 232), ('bridge', 194), ('cafes', 194), ('city', 181), ('bars', 167)]","[('tram', 432), ('walk', 393), ('station', 336), ('train', 286), ('street', 273), ('richmond', 256), ('city', 246), ('melbourne', 211), ('trams', 176), ('st', 171)]",161.01492537313433
Rosanna,3084.0,Eastern Metropolitan,3540.0,['Banyule'],"[('heidelberg', 40), ('walk', 39), ('stay', 33), ('house', 31), ('apartment', 30), ('bedroom', 27), ('station', 24), ('access', 24), ('restaurants', 24), ('guests', 23)]","[('rosanna', 16), ('cafes', 13), ('restaurants', 13), ('shops', 12), ('walk', 11), ('away', 11), ('parklands', 11), ('heidelberg', 11), ('hospital', 10), ('walking', 10)]","[('train', 39), ('station', 29), ('walk', 22), ('melbourne', 20), ('bus', 19), ('min', 16), ('heidelberg', 15), ('access', 14), ('city', 14), ('transport', 13)]",116.09375
Seddon,3011.0,Western Metropolitan,2417.0,['Maribyrnong'],"[('footscray', 174), ('room', 162), ('melbourne', 154), ('kitchen', 134), ('city', 129), ('train', 124), ('house', 117), ('bedroom', 115), ('home', 105), ('walk', 102)]","[('footscray', 164), ('restaurants', 91), ('melbourne', 89), ('great', 69), (""'s"", 69), ('cafes', 66), ('walk', 59), ('station', 56), ('walking', 48), ('bars', 48)]","[('station', 188), ('train', 154), ('footscray', 146), ('melbourne', 125), ('walk', 109), ('city', 96), ('minutes', 90), ('bus', 79), ('cbd', 59), ('shopping', 54)]",98.89473684210526
South Melbourne,3205.0,Southern Metropolitan,5943.0,['Port Phillip'],"[('melbourne', 397), ('apartment', 233), ('south', 211), ('city', 177), ('bedroom', 149), ('room', 133), ('walk', 119), ('park', 118), ('bed', 115), ('kitchen', 115)]","[('melbourne', 350), ('south', 233), ('walk', 129), ('market', 106), ('park', 102), ('city', 88), ('albert', 85), ('cafes', 72), ('st', 72), ('tram', 70)]","[('tram', 217), ('melbourne', 167), ('walk', 155), ('minutes', 119), ('city', 113), ('st', 103), ('street', 82), ('kilda', 75), ('south', 68), ('trams', 67)]",196.56969696969696
South Yarra,3141.0,Southern Metropolitan,14887.0,"['Stonnington', 'Melbourne']","[('apartment', 1051), ('yarra', 794), ('south', 686), ('chapel', 487), ('melbourne', 486), ('walk', 459), ('street', 434), ('bedroom', 427), ('room', 349), (""'s"", 349)]","[('yarra', 889), ('south', 810), ('melbourne', 535), ('shopping', 488), (""'s"", 487), ('street', 438), ('chapel', 388), ('road', 337), ('prahran', 335), ('toorak', 323)]","[('station', 636), ('walk', 617), ('train', 580), ('tram', 565), ('yarra', 536), ('south', 494), ('street', 407), ('city', 321), ('melbourne', 301), ('minutes', 285)]",137.6461824953445
Southbank,3006.0,Southern Metropolitan,8400.0,"['Melbourne', 'Port Phillip']","[('apartment', 1718), ('melbourne', 1390), ('bedroom', 923), ('city', 678), ('walk', 649), ('crown', 622), ('southbank', 610), ('room', 550), ('bed', 540), ('casino', 536)]","[('melbourne', 1404), ('walk', 632), ('crown', 571), ('centre', 546), ('southbank', 478), ('casino', 434), ('restaurants', 416), (""'s"", 391), ('south', 376), ('city', 357)]","[('tram', 759), ('walk', 696), ('melbourne', 611), ('station', 594), ('street', 361), ('city', 332), ('apartment', 325), ('minutes', 295), ('flinders', 286), ('stop', 265)]",185.332
Spotswood,3015.0,Western Metropolitan,1223.0,['Hobsons Bay'],"[('newport', 40), ('house', 39), ('train', 38), ('home', 38), ('bedroom', 37), ('walk', 35), ('area', 35), ('minutes', 34), ('williamstown', 33), ('access', 33)]","[('williamstown', 31), ('newport', 27), ('cafes', 24), ('minute', 21), ('walk', 20), ('great', 18), ('restaurants', 16), ('city', 16), ('melbourne', 14), ('suburb', 11)]","[('train', 43), ('station', 35), ('minutes', 30), ('bus', 26), ('walk', 25), ('newport', 24), ('minute', 21), ('city', 20), ('melbourne', 20), ('williamstown', 17)]",120.45714285714286
St Kilda,3182.0,Southern Metropolitan,13240.0,['Port Phillip'],"[('st', 1683), ('apartment', 1496), ('kilda', 1357), ('beach', 856), ('bedroom', 725), ('kitchen', 575), ('walk', 567), ('street', 549), ('melbourne', 546), ('bed', 542)]","[('st', 1461), ('kilda', 1235), ('beach', 668), ('melbourne', 630), ('street', 562), ('park', 542), ('walk', 462), ('restaurants', 428), (""'s"", 406), ('cafes', 333)]","[('st', 783), ('tram', 764), ('walk', 525), ('kilda', 491), ('melbourne', 478), ('city', 458), ('street', 434), ('trams', 367), ('minutes', 344), ('station', 287)]",142.34010840108402
Strathmore,3041.0,Western Metropolitan,3284.0,['Moonee Valley'],,,,
Sunshine,3020.0,Western Metropolitan,3755.0,['Brimbank'],"[('sunshine', 31), ('walk', 24), ('station', 23), ('room', 23), ('home', 22), ('mins', 21), ('•', 19), ('train', 17), ('guests', 17), ('minutes', 17)]","[('sunshine', 21), ('centre', 12), ('shopping', 12), ('station', 12), ('walk', 10), ('minutes', 10), ('food', 10), ('new', 9), ('vietnamese', 8), ('big', 8)]","[('station', 24), ('bus', 17), ('mins', 16), ('sunshine', 15), ('train', 15), ('melbourne', 15), ('airport', 14), ('walk', 12), ('city', 12), ('minutes', 10)]",85.0952380952381
Sunshine North,3020.0,Western Metropolitan,4217.0,['Brimbank'],"[('sunshine', 31), ('walk', 24), ('station', 23), ('room', 23), ('home', 22), ('mins', 21), ('•', 19), ('train', 17), ('guests', 17), ('minutes', 17)]","[('sunshine', 21), ('centre', 12), ('shopping', 12), ('station', 12), ('walk', 10), ('minutes', 10), ('food', 10), ('new', 9), ('vietnamese', 8), ('big', 8)]","[('station', 24), ('bus', 17), ('mins', 16), ('sunshine', 15), ('train', 15), ('melbourne', 15), ('airport', 14), ('walk', 12), ('city', 12), ('minutes', 10)]",85.0952380952381
Sunshine West,3020.0,Western Metropolitan,6763.0,['Brimbank'],"[('sunshine', 31), ('walk', 24), ('station', 23), ('room', 23), ('home', 22), ('mins', 21), ('•', 19), ('train', 17), ('guests', 17), ('minutes', 17)]","[('sunshine', 21), ('centre', 12), ('shopping', 12), ('station', 12), ('walk', 10), ('minutes', 10), ('food', 10), ('new', 9), ('vietnamese', 8), ('big', 8)]","[('station', 24), ('bus', 17), ('mins', 16), ('sunshine', 15), ('train', 15), ('melbourne', 15), ('airport', 14), ('walk', 12), ('city', 12), ('minutes', 10)]",85.0952380952381
Surrey Hills,3127.0,Southern Metropolitan,5457.0,"['Boroondara', 'Whitehorse']","[('train', 54), ('station', 44), ('place', 36), ('hill', 35), ('box', 31), ('home', 29), ('city', 29), ('bedroom', 29), ('close', 29), ('house', 29)]","[('melbourne', 23), ('surrey', 21), ('hills', 20), ('walk', 17), ('albert', 16), ('city', 15), ('box', 15), ('shops', 14), ('away', 14), ('hill', 14)]","[('train', 50), ('station', 45), ('km', 40), ('shopping', 34), ('tram', 30), ('hill', 26), ('school', 25), ('box', 23), ('walk', 23), ('melbourne', 20)]",84.62162162162163
Templestowe Lower,3107.0,Eastern Metropolitan,5420.0,['Manningham'],,,,
Thornbury,3071.0,Northern Metropolitan,8870.0,['Darebin'],"[('thornbury', 76), ('house', 67), ('street', 66), ('bedroom', 63), ('walk', 63), ('home', 62), ('apartment', 62), ('space', 60), ('high', 60), ('kitchen', 59)]","[('thornbury', 65), ('cafes', 55), ('walk', 53), ('bars', 51), ('street', 47), ('high', 46), ('restaurants', 44), ('great', 43), ('northcote', 37), (""'s"", 30)]","[('tram', 82), ('walk', 80), ('train', 68), ('station', 63), ('city', 58), ('street', 55), ('mins', 50), ('st', 49), ('minute', 37), ('minutes', 36)]",101.97260273972603
Toorak,3142.0,Southern Metropolitan,7217.0,['Stonnington'],"[('toorak', 116), ('apartment', 105), ('room', 92), ('melbourne', 86), ('kitchen', 79), ('street', 66), ('walk', 64), ('bedroom', 63), ('large', 60), ('bed', 54)]","[('toorak', 90), ('melbourne', 58), ('walk', 45), (""'s"", 38), ('street', 38), ('village', 35), ('chapel', 33), ('shopping', 31), ('cafes', 30), ('km', 29)]","[('tram', 88), ('walk', 86), ('station', 77), ('train', 72), ('melbourne', 56), ('minute', 55), ('stop', 49), ('street', 47), ('city', 42), ('toorak', 35)]",148.79166666666666
Viewbank,3084.0,Eastern Metropolitan,2698.0,['Banyule'],"[('heidelberg', 40), ('walk', 39), ('stay', 33), ('house', 31), ('apartment', 30), ('bedroom', 27), ('station', 24), ('access', 24), ('restaurants', 24), ('guests', 23)]","[('rosanna', 16), ('cafes', 13), ('restaurants', 13), ('shops', 12), ('walk', 11), ('away', 11), ('parklands', 11), ('heidelberg', 11), ('hospital', 10), ('walking', 10)]","[('train', 39), ('station', 29), ('walk', 22), ('melbourne', 20), ('bus', 19), ('min', 16), ('heidelberg', 15), ('access', 14), ('city', 14), ('transport', 13)]",116.09375
Watsonia,3087.0,Northern Metropolitan,2329.0,['Banyule'],,,,
West Melbourne,3003.0,Northern Metropolitan,2230.0,['Melbourne'],"[('melbourne', 270), ('apartment', 257), ('city', 190), ('free', 170), ('bed', 159), ('bedroom', 144), ('station', 140), ('walk', 138), ('room', 131), ('queen', 121)]","[('melbourne', 296), ('victoria', 160), ('street', 128), ('market', 103), ('walk', 100), ('queen', 93), ('city', 90), ('flagstaff', 80), ('station', 74), ('cbd', 72)]","[('station', 215), ('walk', 200), ('tram', 182), ('melbourne', 176), ('free', 137), ('train', 124), ('city', 121), ('street', 85), ('cross', 84), ('southern', 82)]",140.78666666666666
Williamstown,3016.0,Western Metropolitan,6380.0,['Hobsons Bay'],"[('williamstown', 61), ('walk', 49), ('home', 32), ('apartment', 31), ('train', 31), ('melbourne', 30), ('bedroom', 28), ('beach', 26), ('house', 25), (""'s"", 21)]","[('williamstown', 42), ('city', 21), ('•', 21), ('melbourne', 20), ('close', 13), (""'s"", 13), ('beach', 10), ('walk', 10), ('town', 10), ('views', 10)]","[('train', 30), ('walk', 30), ('station', 22), ('williamstown', 21), ('bus', 18), ('city', 15), ('minute', 13), ('car', 12), ('parking', 10), ('min', 10)]",177.91176470588235
